comparison_id,dataset,claim_role,candidate,baseline,metric,direction,n_pairs,candidate_mean,baseline_mean,mean_improvement,relative_improvement_percent,win_rate,tie_rate,sign_test_p,bootstrap95_low,bootstrap95_high
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,chamfer,lower,317,4.333261007719819,84.17784556256353,79.8445845548437,94.85225479606838,0.9905362776025236,0.0,0.0,73.95570740298183,85.51082104743088
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,hausdorff,lower,317,29.224451610015944,301.68446618339755,272.4600145733816,90.31290805929329,0.9873817034700315,0.0,0.0,257.6375952373734,285.7578396079187
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,broken_segments,lower,317,22.630914826498422,30.258675078864353,7.62776025236593,25.208507089241035,0.7570977917981072,0.10094637223974763,0.0,6.056782334384858,9.16403785488959
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,abs_component_diff,lower,317,173.46687697160883,176.993690851735,3.526813880126183,1.992621241556312,0.6340694006309149,0.3028391167192429,0.0,2.858044164037855,4.28391167192429
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,iou,higher,704,0.528611083455637,0.5307342194421857,-0.002123135986548679,-0.4000375157230573,0.31676136363636365,0.421875,0.0596204462123997,-0.014980135844153288,0.010251970082039498
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,f1,higher,704,0.5643828758317814,0.5655646472913252,-0.0011817714595437968,-0.20895426636082867,0.31676136363636365,0.421875,0.0596204462123997,-0.01429810250681523,0.011610484941055947
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,bf1_1,higher,704,0.581607486298246,0.4975032166970694,0.08410426960117665,16.90527151955841,0.48579545454545453,0.3409090909090909,0.0,0.06148085839670432,0.10811767200303897
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,bf1_2,higher,704,0.6150446154021141,0.5301549276257812,0.08488968777633285,16.01224158313467,0.4559659090909091,0.3409090909090909,2.220446049250313e-16,0.06179639508048241,0.10899151404535658
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,bf1_3,higher,704,0.6427270801059884,0.5630205548458729,0.07970652526011565,14.156947659208525,0.4403409090909091,0.3409090909090909,6.213918268827001e-13,0.05521313273811901,0.10367891036771067
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,bf1_5,higher,704,0.6740059854972231,0.611317698126759,0.06268828737046417,10.254616799506682,0.4005681818181818,0.34232954545454547,3.3615452991186956e-06,0.03869771997952233,0.08665591268754012
